title,price,location,year,mileage,list_date,URL,source
2015 Yamaha WR250R,"$5,000",lacey,2015,"3,250mi",3h ago,https://seattle.craigslist.org/oly/mcy/d/lacey-2015-yamaha-wr250r/7640871937.html,craigslist
2023 Kawasaki KX 85,"$4,099",bremerton,2023,-1,4h ago,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-kawasaki-kx-85/7640870779.html,craigslist
2009 Buell Firebolt,"$4,950",lynnwood,2009,"5,300mi",4h ago,https://seattle.craigslist.org/sno/mcy/d/lynnwood-2009-buell-firebolt/7640869719.html,craigslist
NOW over $4200 OFF* 22 KTM 1290 Super Duke R EVO,"$16,999",tacoma,4200,1mi,4h ago,https://seattle.craigslist.org/tac/mcd/d/tacoma-now-over-4200-off-22-ktm-1290/7640869043.html,craigslist
1998 Kawasaki Concours 1000,$400,lakewood,1998,77k mi,4h ago,https://seattle.craigslist.org/see/mcy/d/lakewood-1998-kawasaki-concours-1000/7640864014.html,craigslist
2016 Harley-Davidson FXDL - Dyna Low Rider,"$12,499",lakewood,2016,16k mi,4h ago,https://seattle.craigslist.org/tac/mcd/d/lakewood-2016-harley-davidson-fxdl-dyna/7640863584.html,craigslist
Harley Davidson,"$20,000",puyallup,-1,15k mi,4h ago,https://seattle.craigslist.org/tac/mcy/d/puyallup-harley-davidson/7640857614.html,craigslist
2015 Honda CB500 F,"$4,700",galvin,2015,13k mi,4h ago,https://seattle.craigslist.org/oly/mcy/d/galvin-2015-honda-cb500/7640857052.html,craigslist
2008 Aprillia Scarabeo 500ie,"$1,500",seattle,2008,"6,300mi",4h ago,https://seattle.craigslist.org/see/mcy/d/seattle-2008-aprillia-scarabeo-500ie/7640855197.html,craigslist
1987 Honda Fat Cat,"$4,500",snohomish,1987,"1,000mi",4h ago,https://seattle.craigslist.org/sno/mcy/d/snohomish-1987-honda-fat-cat/7640854899.html,craigslist
2023 KTM 1290 Super Adventure R,"$20,299",bremerton,2023,-1,5h ago,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-ktm-1290-super-adventure/7640843482.html,craigslist
Yamaha XS650 Custom Sell/Trade,"$4,995",edmonds,-1,500mi,5h ago,https://seattle.craigslist.org/see/mcy/d/edmonds-yamaha-xs650-custom-sell-trade/7640829725.html,craigslist
Honda Silverwing 600cc Scooter,"$3,499",olympia,-1,"7,740mi",5h ago,https://seattle.craigslist.org/oly/mcy/d/olympia-honda-silverwing-600cc-scooter/7640820377.html,craigslist
2015 Ducati Diavel,"$14,250",seattle,2015,600mi,5h ago,https://seattle.craigslist.org/see/mcy/d/seattle-2015-ducati-diavel/7640820064.html,craigslist
2009 kawasaki vulcan 900 custom,"$5,000",mountlake,2009,"7,237mi",5h ago,https://seattle.craigslist.org/sno/mcy/d/mountlake-terrace-2009-kawasaki-vulcan/7640817533.html,craigslist
2023 KTM 250 XC,"$9,299",bremerton,2023,-1,6h ago,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-ktm-250-xc/7640815676.html,craigslist
2004 V-Star Cruiser,"$3,000",woodinville,2004,14k mi,6h ago,https://seattle.craigslist.org/est/mcy/d/woodinville-2004-star-cruiser/7640812955.html,craigslist
2023 ZERO DSRX,"$21,999",seattle,2023,6mi,6h ago,https://seattle.craigslist.org/see/mcd/d/seattle-2023-zero-dsrx/7640811778.html,craigslist
2011 Harley Electra Glide Ultra Limited FLHTK,"$11,750",woodinville,2011,"9,893mi",6h ago,https://seattle.craigslist.org/est/mcy/d/woodinville-2011-harley-electra-glide/7640807998.html,craigslist
"2023 POLARIS GENERAL XP4 1000 SPORT SAVE $1,250! STREET KIT & MIRRORS!","$27,999",wilkeson,2023,-1,6h ago,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-polaris-general-xp-sport/7640802920.html,craigslist
2013 yamaha Xt250,"$4,000",puyallup,2013,"2,500mi",6h ago,https://seattle.craigslist.org/tac/mcy/d/puyallup-2013-yamaha-xt250/7640797436.html,craigslist
KTM DUKE 390,"$4,800",bellevue,-1,"1,986mi",6h ago,https://seattle.craigslist.org/est/mcy/d/bellevue-ktm-duke-390/7640793623.html,craigslist
2023 Suzuki DR-Z50,"$2,499",bremerton,2023,-1,7h ago,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-suzuki-dr-z50/7640786225.html,craigslist
